,title,hits,hits_grade
4870,虎溪管委会三支部“红色之行”特色党日活动,233,19.416666666666668
4871,中国生物材料学会材料生物力学分会成立大会在渝举行,1659,100.0
4872,机械学院研究生入党积极分子重温红岩“炬心”传承户外教学活动,179,14.916666666666666
4873,大数据与软件学院本科2015级开展保密宣传教育活动,259,21.583333333333332
4874,化学化工学院2018年研究生“羽林争霸”赛圆满结束,155,12.916666666666666
4875,产业党委组织开展《中国共产党纪律处分条例》知识竞赛主题党日活动,308,25.666666666666668
4876,杨春平教授做客平安重大讲坛,353,29.416666666666668
4877,大数据与软件学院本科2017级组织观看保密宣传教育片,342,28.5
4878,大数据与软件学院2018年学生代表大会顺利召开,281,23.416666666666668
4879,建筑城规学院举行2018级本科生代表座谈会,252,21.0
4880,迎接新时代教育的春天 2018年重庆大学本科教育工作会议召开,3854,100.0
4881,艺术学院舞蹈系2019届毕业供需双选会顺利举行,495,41.25
4882,学校在重庆市第三届声乐大赛取得优异成绩,1549,100.0
4883,资环学院组织入党积极分子及党员代表赴红岩魂广场接受红色文化教育,211,17.583333333333332
4884,话剧《重庆家书》荣获第六届中国校园戏剧节“优秀展演剧目”称号,339,28.25
4885,经管学院2018级会计一班参观宗申企业,192,16.0
4886,重庆大学举办安全教育月系列活动之“安全自护嘉年华”活动,249,20.75
4887,自助·助人·互助 我们一起成长,160,13.333333333333334
4888,建设管理与房地产学院迎新晚会三审圆满结束,192,16.0
4889,艺术源于生活 成才源于勤奋,537,44.75
4890,壮阔东方潮，青年话时代,253,21.083333333333332
4891,体育学院、生命学院入党积极分子缅怀红岩革命先烈,168,14.0
4892,学校组织“变革性技术关键科学问题”等2个重点专项指南解读及项目申报组织动员会,256,21.333333333333332
4893,学生职业发展与就业指导中心举办职通讲坛66期之《公职类考试技巧解析》讲座,216,18.0
4894,显青春朝气，展营销智慧,339,28.25
4895,大数据与软件学院举行急救知识培训,295,24.583333333333332
4896,自动化学院心理健康教育工作再创佳绩,138,11.5
4897,建管学院留学咨询讲座顺利开展,120,10.0
4898,你的恋爱观，我喜欢,269,22.416666666666668
4899,易班工作站老师指导经管学院“十佳班级”评比工作,210,17.5
4900,点燃梦想 势在必行,117,9.75
4901,旖旎雾都舒心怀，峥嵘山城出英才,168,14.0
4902,城环学院2018年求职经验分享会举行,512,42.666666666666664
4903,重庆大学足球队首次挺进中国大学生五人制足球联赛全国总决赛,400,33.333333333333336
4904,圆满结束！法学会＆西政民商实践部——法律高校行,188,15.666666666666666
4905,重庆大学荣获“2018年青少年高校科学营优秀组织单位”称号,644,53.666666666666664
4906,重庆大学学生在2018年全国大学生微创业行动中斩获金奖,1490,100.0
4907,青春昂扬，谁与争锋,196,16.333333333333332
4908,2018年重庆大学第一届心理趣味游园活动顺利举办,1137,94.75
4909,图书馆举办“学霸养成，知网来帮”比赛培训活动,293,24.416666666666668
4910,智慧图书馆协同创新联盟在重庆大学成立,756,63.0
4911,民革重大一支部组织党员参观重庆自然博物馆,403,33.583333333333336
4912,继续教育学院 应用技术学院组织祭扫革命烈士墓活动,228,19.0
4913,第二届高校马院互联网+思想政治理论教育教学研讨会在重庆大学举行,782,65.16666666666667
4914,资源及环境科学学院“我是锦鲤”2018年本科生趣味运动会圆满举行,511,42.583333333333336
