date,avg_hits,hits_grade
11-09,391,15.64
11-10,470,18.8
11-11,457,18.28
11-12,466,18.64
11-13,1059,42.36
11-14,608,24.32
11-15,533,21.32
11-16,417,16.68
11-17,601,24.04
11-18,362,14.48
11-19,389,15.56
11-20,781,31.24
11-21,456,18.24
11-22,534,21.36
11-23,516,20.64
11-24,464,18.56
11-25,458,18.32
11-26,689,27.56
11-27,685,27.4
11-28,442,17.68
11-29,548,21.92
11-30,665,26.6
12-01,503,20.12
12-02,726,29.04
12-03,404,16.16
12-04,653,26.12
12-05,531,21.24
12-06,640,25.6
12-07,466,18.64
12-08,510,20.4
12-09,407,16.28
12-10,891,35.64
12-11,448,17.92
12-12,567,22.68
12-13,531,21.24
12-14,742,29.68
12-15,814,32.56
12-16,819,32.76
12-17,613,24.52
12-18,593,23.72
12-19,705,28.2
12-20,636,25.44
12-21,782,31.28
12-22,425,17.0
12-23,406,16.24
12-24,783,31.32
12-25,674,26.96
12-26,421,16.84
12-27,388,15.52
12-28,466,18.64
12-29,1008,40.32
12-30,491,19.64
12-31,557,22.28
